Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken,distance_km,order_hour,prep_time
36.0,4.2,Fog,Jam,2,Snack,motorcycle,3.0,No,Metropolitian,46,10.280582064621875,21.0,15.0
21.0,4.7,Stormy,High,1,Meal,motorcycle,1.0,No,Metropolitian,23,6.242318682701243,14.0,10.0
23.0,4.7,Sandstorms,Medium,1,Drinks,scooter,1.0,No,Metropolitian,21,13.787860239172547,17.0,10.0
34.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,20,2.9302578007621216,9.0,10.0
24.0,4.7,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,41,19.39661829066159,19.0,15.0
29.0,4.5,Sandstorms,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,20,13.763977224427641,20.0,10.0
35.0,4.0,Windy,High,1,Meal,scooter,1.0,No,Metropolitian,33,6.21800119018663,14.0,15.0
33.0,4.2,Sandstorms,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,40,16.849939918016492,20.0,10.0
34.0,4.9,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,41,10.757108800258132,20.0,10.0
21.0,4.7,Windy,Jam,0,Meal,motorcycle,1.0,No,Urban,15,4.5405743887312955,21.0,15.0
25.0,4.1,Sandstorms,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,36,12.256076445468295,20.0,5.0
31.0,4.7,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,26,19.618739348801018,22.0,15.0
37.0,5.0,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,20,1.5581322655568652,8.0,15.0
33.0,4.3,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,39,20.180635114114715,19.0,15.0
25.0,4.0,Cloudy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,34,6.116971669682334,12.0,5.0
29.0,4.5,Sunny,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,15,17.07559440107296,18.0,15.0
27.0,5.0,Stormy,Jam,0,Snack,motorcycle,0.0,No,Urban,18,4.470286489434607,20.0,5.0
35.0,4.3,Cloudy,Low,1,Drinks,scooter,0.0,No,Metropolitian,38,13.68204452608078,23.0,10.0
32.0,4.0,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,47,13.973182653917394,21.0,15.0
23.0,4.8,Windy,Low,2,Buffet,electric_scooter,0.0,No,Urban,12,16.85361872985359,23.0,10.0
31.0,4.8,Sandstorms,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,26,4.674172124263269,22.0,15.0
36.0,4.1,Stormy,Low,0,Drinks,motorcycle,1.0,No,Urban,22,7.60161677107109,22.0,5.0
26.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,21,7.720324413179964,23.0,10.0
38.0,4.9,Cloudy,High,1,Drinks,scooter,1.0,No,Urban,25,6.1756362610169315,13.0,5.0
